Date,Price Earnings Ratio (P/E)
25/04/2022,21.7315
22/04/2022,21.6084
21/04/2022,22.2249
20/04/2022,22.5577
19/04/2022,22.5716
18/04/2022,22.2149
15/04/2022,22.2195
14/04/2022,22.2195
13/04/2022,22.4926
12/04/2022,22.2441
11/04/2022,22.3203
08/04/2022,22.7035
07/04/2022,22.7639
06/04/2022,22.6674
05/04/2022,22.8899
04/04/2022,23.1808
01/04/2022,22.9948
31/03/2022,22.9186
30/03/2022,23.283
29/03/2022,23.4372
28/03/2022,23.1549
25/03/2022,22.9906
24/03/2022,22.8747
23/03/2022,22.5512
22/03/2022,22.8314
21/03/2022,22.5762
18/03/2022,22.5915
17/03/2022,22.3311
16/03/2022,22.0587
15/03/2022,21.5758
14/03/2022,21.1234
11/03/2022,21.2812
10/03/2022,21.5607
09/03/2022,21.6542
08/03/2022,21.1116
07/03/2022,21.2656
04/03/2022,21.9123
03/03/2022,22.0876
02/03/2022,22.1898
01/03/2022,21.7844
28/02/2022,22.0727
25/02/2022,22.0929
24/02/2022,21.6272
23/02/2022,21.2862
22/02/2022,21.6915
21/02/2022,23.6669
18/02/2022,23.6669
17/02/2022,23.8378
16/02/2022,24.3766
15/02/2022,24.3551
14/02/2022,23.9771
11/02/2022,24.0695
10/02/2022,24.5308
09/02/2022,24.9893
08/02/2022,24.6317
07/02/2022,24.4265
04/02/2022,24.5172
03/02/2022,24.3914
02/02/2022,25.0114
01/02/2022,24.7779
31/01/2022,24.609
28/01/2022,24.1529
27/01/2022,23.5788
26/01/2022,23.7064
25/01/2022,23.731
24/01/2022,24.0234
21/01/2022,23.957
20/01/2022,24.4189
19/01/2022,24.6914
18/01/2022,24.933
17/01/2022,25.4
14/01/2022,25.4
13/01/2022,25.3792
12/01/2022,25.7459
11/01/2022,25.6736
10/01/2022,25.4406
07/01/2022,25.4773
06/01/2022,25.5809
05/01/2022,25.6056
04/01/2022,26.1119
03/01/2022,26.1284
31/12/2021,25.9776
30/12/2021,26.046
29/12/2021,26.1241
28/12/2021,26.0876
27/12/2021,26.1139
24/12/2021,25.7575
23/12/2021,25.7575
22/12/2021,25.5982
21/12/2021,25.3402
20/12/2021,24.8976
17/12/2021,25.1844
16/12/2021,25.445
15/12/2021,25.6695
14/12/2021,25.2566
13/12/2021,25.4467
10/12/2021,25.6818
09/12/2021,25.4392
08/12/2021,25.528
07/12/2021,25.446
06/12/2021,24.9297
03/12/2021,24.6407
02/12/2021,24.8501
01/12/2021,24.5021
30/11/2021,24.7912
29/11/2021,25.2483
26/11/2021,24.9194
25/11/2021,25.4988
24/11/2021,25.4988
23/11/2021,25.4412
22/11/2021,25.389
19/11/2021,25.4685
18/11/2021,25.5033
17/11/2021,25.4162
16/11/2021,25.477
15/11/2021,25.3896
12/11/2021,25.3915
11/11/2021,25.2097
10/11/2021,25.197
09/11/2021,25.3694
08/11/2021,25.4488
05/11/2021,27.8095
04/11/2021,27.7061
03/11/2021,27.5896
02/11/2021,27.4125
01/11/2021,27.312
29/10/2021,27.2629
28/10/2021,27.2099
27/10/2021,26.945
26/10/2021,27.0818
25/10/2021,27.0326
22/10/2021,26.9049
21/10/2021,26.9338
20/10/2021,26.8533
19/10/2021,26.7553
18/10/2021,26.5589
15/10/2021,26.4696
14/10/2021,26.2736
13/10/2021,25.8328
12/10/2021,25.755
11/10/2021,25.8174
08/10/2021,25.9958
07/10/2021,26.0457
06/10/2021,25.8313
05/10/2021,25.7258
04/10/2021,25.4578
01/10/2021,25.7928
30/09/2021,25.5014
29/09/2021,25.8088
28/09/2021,25.7683
27/09/2021,26.304
24/09/2021,26.3772
23/09/2021,26.3387
22/09/2021,26.0354
21/09/2021,25.7899
20/09/2021,25.8133
17/09/2021,26.2591
16/09/2021,26.5006
15/09/2021,26.5417
14/09/2021,26.3188
13/09/2021,26.4709
10/09/2021,26.4109
09/09/2021,26.618
08/09/2021,26.742
07/09/2021,26.7777
06/09/2021,26.8692
