Date,BEst P/E Ratio,S5ENRS INDEX ,BEST P/E Ratio ,1FY Local CCY
2024-02-22,11.9343,,,
2024-02-21,11.8943,,,
2024-02-20,11.6869,,,
2024-02-19,11.791,,,
2024-02-16,11.7912,,,
2024-02-15,11.7864,,,
2024-02-14,11.4812,,,
2024-02-13,11.4947,,,
2024-02-12,11.6105,,,
2024-02-09,11.4662,,,
2024-02-08,11.6465,,,
2024-02-07,10.9132,,,
2024-02-06,10.8947,,,
2024-02-05,10.8593,,,
2024-02-02,10.8945,,,
2024-02-01,10.9091,,,
2024-01-31,10.9162,,,
2024-01-30,11.1501,,,
2024-01-29,11.0753,,,
2024-01-26,11.0978,,,
2024-01-25,11.0133,,,
2024-01-24,10.7866,,,
2024-01-23,10.6361,,,
2024-01-22,10.5947,,,
2024-01-19,10.5566,,,
2024-01-18,10.528,,,
2024-01-17,10.5445,,,
2024-01-16,10.6287,,,
2024-01-15,10.8589,,,
2024-01-12,10.8434,,,
2024-01-11,10.7056,,,
2024-01-10,10.6808,,,
2024-01-09,10.7635,,,
2024-01-08,10.9584,,,
2024-01-05,11.0824,,,
2024-01-04,11.0865,,,
2024-01-03,11.2274,,,
2024-01-02,11.0747,,,
2024-01-01,10.9443,,,
2023-12-29,10.9444,,,
2023-12-28,10.9706,,,
2023-12-27,11.135,,,
2023-12-26,11.1933,,,
2023-12-25,11.0963,,,
2023-12-22,11.0963,,,
2023-12-21,11.0415,,,
2023-12-20,10.9836,,,
2023-12-19,11.0861,,,
2023-12-18,10.9501,,,
2023-12-15,10.8889,,,
2023-12-14,10.9453,,,
2023-12-13,10.5941,,,
2023-12-12,10.4582,,,
2023-12-11,10.6013,,,
2023-12-08,10.5902,,,
2023-12-07,10.4614,,,
2023-12-06,10.5225,,,
2023-12-05,10.6987,,,
2023-12-04,10.884,,,
2023-12-01,10.9336,,,
2023-11-30,10.8795,,,
2023-11-29,10.8106,,,
2023-11-28,10.8986,,,
2023-11-27,10.8967,,,
2023-11-24,10.9374,,,
2023-11-23,10.8888,,,
2023-11-22,10.8888,,,
2023-11-21,10.8768,,,
2023-11-20,10.9023,,,
2023-11-17,10.8882,,,
2023-11-16,10.6618,,,
2023-11-15,10.8853,,,
2023-11-14,10.9316,,,
2023-11-13,10.864,,,
2023-11-10,10.7851,,,
2023-11-09,10.6747,,,
2023-11-08,10.7103,,,
2023-11-07,10.8501,,,
2023-11-06,11.1211,,,
2023-11-03,11.2381,,,
2023-11-02,11.3609,,,
2023-11-01,10.9919,,,
2023-10-31,11.023,,,
2023-10-30,10.9866,,,
2023-10-27,10.896,,,
2023-10-26,11.1207,,,
2023-10-25,11.2085,,,
2023-10-24,11.2293,,,
2023-10-23,11.391,,,
2023-10-20,11.5794,,,
2023-10-19,11.7793,,,
2023-10-18,11.8082,,,
2023-10-17,11.7128,,,
2023-10-16,11.6547,,,
2023-10-13,11.6424,,,
2023-10-12,11.3895,,,
2023-10-11,11.3967,,,
2023-10-10,11.5409,,,
2023-10-09,11.5528,,,
2023-10-06,11.1514,,,
2023-10-05,11.1123,,,
2023-10-04,11.1185,,,
2023-10-03,11.5506,,,
2023-10-02,11.5555,,,
2023-09-29,11.8364,,,
2023-09-28,12.0755,,,
2023-09-27,12.074,,,
2023-09-26,11.8535,,,
2023-09-25,11.8543,,,
2023-09-22,11.735,,,
2023-09-21,11.7188,,,
2023-09-20,11.8939,,,
2023-09-19,12.0096,,,
2023-09-18,12.1201,,,
2023-09-15,12.1881,,,
2023-09-14,12.3125,,,
2023-09-13,12.1595,,,
2023-09-12,12.2557,,,
2023-09-11,11.9858,,,
2023-09-08,12.1475,,,
2023-09-07,12.0467,,,
2023-09-06,12.1041,,,
2023-09-05,12.0901,,,
2023-09-04,12.0184,,,
2023-09-01,12.0298,,,
2023-08-31,11.825,,,
2023-08-30,11.8524,,,
2023-08-29,11.7945,,,
2023-08-28,11.7681,,,
2023-08-25,11.7616,,,
2023-08-24,11.6494,,,
2023-08-23,11.7513,,,
2023-08-22,11.8095,,,
2023-08-21,11.9093,,,
2023-08-18,11.9918,,,
2023-08-17,11.886,,,
2023-08-16,11.7589,,,
2023-08-15,11.8814,,,
2023-08-14,12.2146,,,
2023-08-11,12.2401,,,
2023-08-10,12.0398,,,
2023-08-09,12.0345,,,
2023-08-08,11.9498,,,
2023-08-07,11.9197,,,
2023-08-04,11.9255,,,
2023-08-03,11.9467,,,
2023-08-02,11.847,,,
2023-08-01,12.027,,,
2023-07-31,12.1111,,,
2023-07-28,11.8532,,,
2023-07-27,11.833,,,
2023-07-26,11.9107,,,
2023-07-25,11.9221,,,
2023-07-24,11.8514,,,
2023-07-21,11.649,,,
2023-07-20,11.5485,,,
2023-07-19,11.3874,,,
2023-07-18,11.3157,,,
2023-07-17,11.1079,,,
2023-07-14,11.0429,,,
2023-07-13,11.3236,,,
2023-07-12,11.34,,,
2023-07-11,11.1756,,,
2023-07-10,10.9317,,,
2023-07-07,10.8019,,,
2023-07-06,10.582,,,
2023-07-05,10.916,,,
2023-07-04,10.8648,,,
2023-07-03,10.8719,,,
2023-06-30,10.7795,,,
2023-06-29,10.7131,,,
2023-06-28,10.5934,,,
2023-06-27,10.4828,,,
2023-06-26,10.4418,,,
2023-06-23,10.2608,,,
2023-06-22,10.3425,,,
2023-06-21,10.4793,,,
2023-06-20,10.3828,,,
2023-06-19,10.7529,,,
2023-06-16,10.7527,,,
2023-06-15,10.7581,,,
2023-06-14,10.6477,,,
2023-06-13,10.7555,,,
2023-06-12,10.6992,,,
2023-06-09,10.7704,,,
2023-06-08,10.7593,,,
2023-06-07,10.8072,,,
2023-06-06,10.5282,,,
2023-06-05,10.4401,,,
2023-06-02,10.5089,,,
2023-06-01,10.2032,,,
2023-05-31,10.0654,,,
2023-05-30,10.2574,,,
2023-05-29,10.3537,,,
2023-05-26,10.344,,,
2023-05-25,10.3616,,,
2023-05-24,10.533,,,
2023-05-23,10.4753,,,
2023-05-22,10.3544,,,
2023-05-19,10.3806,,,
2023-05-18,10.3765,,,
2023-05-17,10.3301,,,
2023-05-16,9.9602,,,
2023-05-15,10.217,,,
2023-05-12,10.1794,,,
2023-05-11,10.1351,,,
2023-05-10,10.2618,,,
2023-05-09,10.3638,,,
2023-05-08,10.3409,,,
2023-05-05,10.3039,,,
2023-05-04,10.0301,,,
2023-05-03,10.1401,,,
2023-05-02,10.3242,,,
2023-05-01,10.76,,,
2023-04-28,10.9186,,,
2023-04-27,10.7743,,,
2023-04-26,10.7179,,,
2023-04-25,10.8505,,,
2023-04-24,11.0559,,,
2023-04-21,10.8956,,,
2023-04-20,10.9577,,,
2023-04-19,11.0417,,,
2023-04-18,11.023,,,
2023-04-17,10.9938,,,
2023-04-14,11.1085,,,
2023-04-13,11.0522,,,
2023-04-12,10.9781,,,
2023-04-11,10.8692,,,
2023-04-10,10.7571,,,
2023-04-07,10.6674,,,
2023-04-06,10.6654,,,
2023-04-05,10.8347,,,
2023-04-04,10.6732,,,
2023-04-03,10.7093,,,
2023-03-31,10.1933,,,
2023-03-30,10.1227,,,
2023-03-29,10.086,,,
2023-03-28,9.923,,,
2023-03-27,9.7169,,,
2023-03-24,9.4738,,,
2023-03-23,9.4288,,,
2023-03-22,9.4666,,,
2023-03-21,9.6662,,,
2023-03-20,9.3636,,,
2023-03-17,9.2245,,,
2023-03-16,9.3375,,,
2023-03-15,9.2253,,,
2023-03-14,9.7651,,,
2023-03-13,9.6692,,,
2023-03-10,9.8635,,,
